Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
CLCNKB	1	0	0	0	0	0	1	0	2	2	2
CLIP1	0	0	0	0	2	0	0	0	2	2	2
CNTN4	0	0	0	0	2	0	0	0	2	2	2
CNTNAP5	1	0	0	0	1	0	0	0	2	2	2
COL17A1	0	0	0	0	2	0	0	0	2	2	2
COL1A2	0	0	0	0	1	0	1	0	2	2	2
COL24A1	0	0	0	0	1	0	1	0	2	2	2
COL6A3	0	0	0	0	0	0	2	0	2	2	2
COL9A1	1	0	0	0	1	0	0	0	2	2	2
CPLX4	2	0	0	0	0	0	0	0	2	2	2
CPNE6	0	1	0	0	1	0	0	0	2	2	2
CPXM2	0	0	0	0	1	0	1	0	2	2	2
CREB3L2	1	0	0	0	0	0	1	0	2	2	2
CT47B1	0	0	0	0	2	0	0	0	2	2	2
DGKD	0	1	0	0	0	0	1	0	2	2	2
DMXL2	0	0	0	0	0	0	2	0	2	2	2
DNAH3	1	0	0	0	1	0	0	0	2	2	2
DNASE2B	1	1	0	0	0	0	0	0	2	2	2
DNHD1	0	1	0	0	1	0	0	0	2	2	2
DOCK11	0	1	0	0	1	0	0	0	2	2	2
DSCAM	1	0	0	0	1	0	0	0	2	2	2
EFCAB6	1	1	0	0	0	0	0	0	2	2	2
ELOVL6	0	0	0	0	2	0	0	0	2	2	2
ENPP2	0	0	0	0	2	0	0	0	2	2	2
EPPK1	1	0	0	1	0	0	0	0	2	2	2
ESCO1	1	0	1	0	0	0	0	0	2	2	2
ESF1	1	1	0	0	0	0	0	0	2	2	2
ETV3	0	0	0	0	2	0	0	0	2	2	2
EXT1	1	0	0	0	1	0	0	0	2	2	2
FAM111A	0	2	0	0	0	0	0	0	2	2	2
FAM120B	0	0	0	0	2	0	0	0	2	2	2
FAM171A1	1	0	0	0	1	0	0	0	2	2	2
FAM186B	2	0	0	0	0	0	0	0	2	2	2
FBN1	0	1	0	0	0	0	1	0	2	2	2
FIGNL1	2	0	0	0	0	0	0	0	2	2	2
FLNB	0	0	0	0	0	0	2	0	2	2	2
FRYL	0	0	0	0	2	0	0	0	2	2	2
GAD2	0	1	0	0	1	0	0	0	2	2	2
GADL1	1	0	0	0	0	0	1	0	2	2	2
GANAB	0	1	0	0	1	0	0	0	2	2	2
GAPVD1	2	0	0	0	0	0	0	0	2	2	2
GBP3	1	0	0	0	1	0	0	0	2	2	2
GIGYF2	0	0	0	0	2	0	0	0	2	2	2
GLRA2	1	0	0	0	1	0	0	0	2	2	2
GPR98	0	1	0	0	1	0	0	0	2	2	2
GRM1	0	0	0	0	2	0	0	0	2	2	2
GSK3B	1	0	0	0	1	0	0	0	2	2	2
HERC1	0	1	0	0	1	0	0	0	2	2	2
HNRNPR	1	0	0	1	0	0	0	0	2	2	2
HTR2A	0	1	0	0	1	0	0	0	2	2	2
IL21	1	0	0	0	0	0	1	0	2	2	2
ILF2	0	0	0	0	0	0	2	0	2	2	2
ILF3	0	0	0	0	1	0	1	0	2	2	2
INPP4A	0	0	0	0	2	0	0	0	2	2	2
IQCA1	0	0	0	0	1	0	1	0	2	2	2
IRF4	1	1	0	0	0	0	0	0	2	2	2
KBTBD7	1	0	0	0	1	0	0	0	2	2	2
KCNA3	0	0	0	0	2	0	0	0	2	2	2
KDM4B	0	2	0	0	0	0	0	0	2	2	2
KDM5A	0	1	0	0	1	0	0	0	2	2	2
KIAA0319	0	0	0	0	2	0	0	0	2	2	2
KIAA1432	0	0	0	0	1	0	1	0	2	2	2
KIAA1549L	0	0	0	0	1	0	1	0	2	2	2
KIAA2026	0	0	0	0	2	0	0	0	2	2	2
KIF13A	1	0	0	0	1	0	0	0	2	2	2
KIF16B	0	0	0	0	1	0	0	1	2	2	2
KLHL18	0	0	0	0	1	0	1	0	2	2	2
KPNA1	0	0	0	0	2	0	0	0	2	2	2
LMTK2	2	0	0	0	0	0	0	0	2	2	2
LPPR5	0	1	0	0	1	0	0	0	2	2	2
LRCH1	0	0	0	0	1	0	1	0	2	2	2
LRP1B	1	0	0	0	0	0	1	0	2	2	2
LRRC27	0	0	0	0	2	0	0	0	2	2	2
LY75	0	0	0	0	0	0	2	0	2	2	2
MACF1	2	0	0	0	0	0	0	0	2	2	2
MAPK8IP3	1	0	0	0	1	0	0	0	2	2	2
MAST2	1	0	0	0	0	0	1	0	2	2	2
MBD1	1	1	0	0	0	0	0	0	2	2	2
MBD6	1	0	0	0	0	0	0	1	2	2	2
MBTPS1	0	0	0	0	1	0	1	0	2	2	2
MCM8	0	0	1	0	1	0	0	0	2	2	2
MED15	1	0	0	0	0	0	1	0	2	2	2
MFGE8	0	1	0	0	1	0	0	0	2	2	2
MFRP	1	1	0	0	0	0	0	0	2	2	2
MIS18BP1	2	0	0	0	0	0	0	0	2	2	2
MLLT4	0	0	0	0	1	0	1	0	2	2	2
MTERFD2	1	0	0	0	1	0	0	0	2	2	2
MX2	0	0	0	0	1	0	1	0	2	2	2
MYH4	1	0	1	0	0	0	0	0	2	2	2
NCAM2	0	1	0	0	1	0	0	0	2	2	2
NCAPD3	1	0	0	0	0	0	1	0	2	2	2
NCOR2	0	1	0	0	1	0	0	0	2	2	2
NEK1	0	0	0	0	2	0	0	0	2	2	2
NID2	0	0	0	0	2	0	0	0	2	2	2
NOTCH2	1	0	0	0	1	0	0	0	2	2	2
NRAP	0	0	1	0	1	0	0	0	2	2	2
NRIP1	1	0	0	0	1	0	0	0	2	2	2
OSBPL10	0	0	0	0	2	0	0	0	2	2	2
PCDH19	0	0	0	0	2	0	0	0	2	2	2
PCDHB7	0	0	0	0	2	0	0	0	2	2	2
PCF11	1	1	0	0	0	0	0	0	2	2	2
PCID2	1	0	0	0	0	0	1	0	2	2	2
PCLO	0	0	0	0	2	0	0	0	2	2	2
PCOLCE	2	0	0	0	0	0	0	0	2	2	2
PDCD11	1	1	0	0	0	0	0	0	2	2	2
PEAK1	0	0	1	0	1	0	0	0	2	2	2
PFKFB1	0	0	0	0	2	0	0	0	2	2	2
PGBD2	2	0	0	0	0	0	0	0	2	2	2
PIKFYVE	2	0	0	0	0	0	0	0	2	2	2
PKN2	0	1	0	0	1	0	0	0	2	2	2
PLA2G4A	0	1	0	0	1	0	0	0	2	2	2
PLEKHG4B	1	0	0	0	0	0	1	0	2	2	2
PLIN3	2	0	0	0	0	0	0	0	2	2	2
POLQ	1	1	0	0	0	0	0	0	2	2	2
POM121C	0	1	0	0	1	0	0	0	2	2	2
PPFIBP1	1	0	0	0	1	0	0	0	2	2	2
PPL	2	0	0	0	0	0	0	0	2	2	2
PTGR1	2	0	0	0	0	0	0	0	2	2	2
RAI14	0	0	0	0	1	0	1	0	2	2	2
RAPGEF6	0	0	1	0	1	0	0	0	2	2	2
RIMS2	0	0	0	0	1	0	1	0	2	2	2
RLF	1	0	0	0	1	0	0	0	2	2	2
RNF213	0	2	0	0	0	0	0	0	2	2	2
ROBO2	0	0	0	0	2	0	0	0	2	2	2
RYR2	0	0	0	0	2	0	0	0	2	2	2
SATB2	0	0	0	0	1	0	1	0	2	2	2
SCN1A	0	0	0	0	2	0	0	0	2	2	2
SCNN1B	0	0	1	0	0	0	1	0	2	2	2
SFI1	1	0	0	0	1	0	0	0	2	2	2
SH3TC2	1	0	0	0	0	0	1	0	2	2	2
SLC14A2	0	0	0	0	0	0	2	0	2	2	2
SLC5A2	0	0	0	0	2	0	0	0	2	2	2
SNX13	0	0	0	0	1	0	1	0	2	2	2
SNX31	0	0	0	0	2	0	0	0	2	2	2
SOAT2	0	0	0	0	2	0	0	0	2	2	2
SOS1	0	0	0	0	2	0	0	0	2	2	2
SPOP	1	0	1	0	0	0	0	0	2	2	2
SRFBP1	1	1	0	0	0	0	0	0	2	2	2
SRPK3	1	0	0	0	1	0	0	0	2	2	2
STRC	1	0	0	0	1	0	0	0	2	2	2
SURF4	1	0	1	0	0	0	0	0	2	2	2
SZT2	0	0	0	0	2	0	0	0	2	2	2
TBL1XR1	0	1	0	0	0	0	1	0	2	2	2
TBXA2R	0	0	0	0	2	0	0	0	2	2	2
TCEB3	0	0	1	0	1	0	0	0	2	2	2
TCF3	1	0	0	0	1	0	0	0	2	2	2
TINAG	0	0	0	0	2	0	0	0	2	2	2
TMEM132E	1	0	0	0	1	0	0	0	2	2	2
TNIP1	1	0	0	0	1	0	0	0	2	2	2
TOP2B	2	0	0	0	0	0	0	0	2	2	2
TP53BP2	1	0	0	0	0	0	1	0	2	2	2
TRAP1	1	0	0	0	1	0	0	0	2	2	2
TRDN	0	0	0	0	2	0	0	0	2	2	2
TRIP12	1	0	0	0	0	0	1	0	2	2	2
TRPA1	1	0	0	0	0	0	1	0	2	2	2
TRPM4	1	0	0	0	0	0	1	0	2	2	2
TRPS1	0	1	0	0	1	0	0	0	2	2	2
TTC4	1	0	0	0	1	0	0	0	2	2	2
TTK	2	0	0	0	0	0	0	0	2	2	2
TTLL12	0	1	0	0	1	0	0	0	2	2	2
TXNDC16	0	0	0	0	1	0	1	0	2	2	2
UBR2	0	0	1	0	1	0	0	0	2	2	2
UBXN4	1	0	1	0	0	0	0	0	2	2	2
UNC79	1	0	0	0	1	0	0	0	2	2	2
UPF3A	2	0	0	0	0	0	0	0	2	2	2
URGCP	1	1	0	0	0	0	0	0	2	2	2
USHBP1	0	0	0	0	1	0	1	0	2	2	2
USP22	0	0	0	0	2	0	0	0	2	2	2
VPS13D	0	0	0	0	2	0	0	0	2	2	2
VPS41	0	0	0	0	1	0	1	0	2	2	2
WDR11	1	0	0	0	1	0	0	0	2	2	2
XYLT1	0	1	0	0	1	0	0	0	2	2	2
YWHAQ	0	1	0	0	0	0	1	0	2	2	2
ZBTB41	0	0	1	0	1	0	0	0	2	2	2
ZC3H13	1	0	0	0	1	0	0	0	2	2	2
ZCCHC7	0	1	0	0	1	0	0	0	2	2	2
ZEB1	0	0	0	0	2	0	0	0	2	2	2
ZFAT	0	0	0	0	2	0	0	0	2	2	2
ZFC3H1	1	0	0	0	0	0	1	0	2	2	2
ZNF48	1	0	0	0	0	1	0	0	2	2	2
ZNF568	1	0	0	0	1	0	0	0	2	2	2
ZNF827	0	0	0	0	2	0	0	0	2	2	2
ZZZ3	1	0	0	0	1	0	0	0	2	2	2
ACACA	0	0	0	0	1	0	1	0	2	1	1
CBX4	1	0	1	0	0	0	0	0	2	1	1
CCDC30	0	0	0	0	2	0	0	0	2	1	1
F13B	0	0	0	0	1	0	1	0	2	1	1
FAT4	0	0	0	0	2	0	0	0	2	1	1
GAK	0	0	0	0	2	0	0	0	2	1	1
GNL3	0	0	0	0	0	0	2	0	2	1	1
ITFG1	1	0	0	0	0	0	1	0	2	1	1
MAP4K4	1	0	0	0	1	0	0	0	2	1	1
MRPL38	1	0	0	0	1	0	0	0	2	1	1
PIAS3	0	1	0	0	0	0	1	0	2	1	1
SARDH	0	0	0	0	1	0	1	0	2	1	1
VPS52	0	0	0	0	2	0	0	0	2	1	1
WDHD1	0	0	0	0	1	0	1	0	2	1	1
A2M	1	0	0	0	0	0	0	0	1	1	1
AADACL4	0	0	0	0	1	0	0	0	1	1	1
AARS	1	0	0	0	0	0	0	0	1	1	1
AASDH	0	0	1	0	0	0	0	0	1	1	1
AASDHPPT	0	0	0	0	0	0	0	1	1	1	1
AASS	0	0	0	0	0	0	1	0	1	1	1
AATF	0	0	0	0	1	0	0	0	1	1	1
ABCA10	0	0	1	0	0	0	0	0	1	1	1
ABCA3	0	0	0	0	1	0	0	0	1	1	1
ABCA5	0	0	0	0	0	0	1	0	1	1	1
ABCA9	1	0	0	0	0	0	0	0	1	1	1
ABCB10	0	0	0	0	0	0	1	0	1	1	1
ABCB11	0	0	0	0	0	0	1	0	1	1	1
ABCB5	0	0	0	0	1	0	0	0	1	1	1
ABCC10	0	0	0	0	1	0	0	0	1	1	1
ABCC4	0	0	0	0	1	0	0	0	1	1	1
ABCC6	0	0	0	0	1	0	0	0	1	1	1
ABCF1	0	1	0	0	0	0	0	0	1	1	1
ABHD16A	0	0	0	0	1	0	0	0	1	1	1
ABL1	1	0	0	0	0	0	0	0	1	1	1
ABR	1	0	0	0	0	0	0	0	1	1	1
AC004381.6	0	0	0	0	1	0	0	0	1	1	1
AC010127.3	0	0	0	0	0	0	1	0	1	1	1
ACAA1	1	0	0	0	0	0	0	0	1	1	1
ACADVL	0	1	0	0	0	0	0	0	1	1	1
ACCS	0	0	0	0	0	0	1	0	1	1	1
ACHE	0	0	0	0	1	0	0	0	1	1	1
ACKR2	0	0	0	0	1	0	0	0	1	1	1
ACSS2	1	0	0	0	0	0	0	0	1	1	1
ACTBL2	0	0	0	0	1	0	0	0	1	1	1
ACTN1	1	0	0	0	0	0	0	0	1	1	1
ACTN2	0	0	0	0	1	0	0	0	1	1	1
ACTN3	0	0	0	0	0	0	1	0	1	1	1
ACTR5	1	0	0	0	0	0	0	0	1	1	1
ACTR6	1	0	0	0	0	0	0	0	1	1	1
ADAM15	0	0	0	0	1	0	0	0	1	1	1
ADAM18	0	0	0	0	1	0	0	0	1	1	1
ADAM28	0	0	1	0	0	0	0	0	1	1	1
ADAM7	0	0	0	0	0	0	1	0	1	1	1
ADAM9	0	0	0	0	1	0	0	0	1	1	1
ADAMTS10	0	0	0	0	1	0	0	0	1	1	1
ADAMTS20	0	0	0	0	1	0	0	0	1	1	1
ADAMTS5	0	1	0	0	0	0	0	0	1	1	1
ADAMTS9	0	0	0	0	1	0	0	0	1	1	1
ADCK3	0	0	0	0	1	0	0	0	1	1	1
ADH7	0	0	0	0	1	0	0	0	1	1	1
ADRA1B	1	0	0	0	0	0	0	0	1	1	1
ADTRP	0	0	0	0	0	0	1	0	1	1	1
AGA	1	0	0	0	0	0	0	0	1	1	1
AGK	0	0	0	0	1	0	0	0	1	1	1
AGO2	0	0	0	0	1	0	0	0	1	1	1
AGO4	0	0	0	0	0	0	1	0	1	1	1
AGPAT6	1	0	0	0	0	0	0	0	1	1	1
AGR3	1	0	0	0	0	0	0	0	1	1	1
AHI1	0	0	0	0	1	0	0	0	1	1	1
AHSP	0	0	0	0	1	0	0	0	1	1	1
AIM1	0	0	0	0	1	0	0	0	1	1	1
AIM2	1	0	0	0	0	0	0	0	1	1	1
AKAP4	0	0	1	0	0	0	0	0	1	1	1
AKAP5	1	0	0	0	0	0	0	0	1	1	1
AKAP6	1	0	0	0	0	0	0	0	1	1	1
AKR1C1	0	0	0	0	0	0	1	0	1	1	1
ALAS1	0	0	0	0	1	0	0	0	1	1	1
ALDH1L1	0	1	0	0	0	0	0	0	1	1	1
ALDH1L2	0	0	0	0	0	0	1	0	1	1	1
ALG10B	0	1	0	0	0	0	0	0	1	1	1
ALLC	0	0	0	0	1	0	0	0	1	1	1
ALMS1	0	1	0	0	0	0	0	0	1	1	1
ALPK2	1	0	0	0	0	0	0	0	1	1	1
ALX3	0	0	0	0	1	0	0	0	1	1	1
ALX4	0	0	0	0	1	0	0	0	1	1	1
AMBP	0	0	0	0	0	0	1	0	1	1	1
AMBRA1	0	1	0	0	0	0	0	0	1	1	1
AMIGO2	0	0	0	0	1	0	0	0	1	1	1
AMIGO3	0	1	0	0	0	0	0	0	1	1	1
AMY1A	0	0	0	0	1	0	0	0	1	1	1
ANAPC4	0	0	0	0	1	0	0	0	1	1	1
ANAPC5	0	0	0	0	1	0	0	0	1	1	1
ANGPT1	1	0	0	0	0	0	0	0	1	1	1
ANGPT2	0	0	0	0	1	0	0	0	1	1	1
ANK2	0	0	0	0	1	0	0	0	1	1	1
ANKRD13A	1	0	0	0	0	0	0	0	1	1	1
ANKRD23	0	0	0	0	1	0	0	0	1	1	1
ANKRD26	1	0	0	0	0	0	0	0	1	1	1
ANKRD27	0	0	0	0	1	0	0	0	1	1	1
ANKRD28	0	0	0	0	1	0	0	0	1	1	1
ANKRD32	0	0	0	0	0	0	1	0	1	1	1
ANKRD37	0	0	0	0	0	0	1	0	1	1	1
ANKS1B	0	0	0	0	0	0	1	0	1	1	1
ANO10	1	0	0	0	0	0	0	0	1	1	1
ANO2	0	1	0	0	0	0	0	0	1	1	1
ANTXR2	0	0	0	0	1	0	0	0	1	1	1
ANXA2	0	0	0	0	1	0	0	0	1	1	1
ANXA4	0	0	0	0	1	0	0	0	1	1	1
AP1G2	0	0	0	0	1	0	0	0	1	1	1
AP1M1	0	0	0	0	1	0	0	0	1	1	1
AP3M1	0	0	0	0	1	0	0	0	1	1	1
APEH	1	0	0	0	0	0	0	0	1	1	1
APLNR	1	0	0	0	0	0	0	0	1	1	1
APOBEC2	0	1	0	0	0	0	0	0	1	1	1
APOE	0	0	0	0	1	0	0	0	1	1	1
APPBP2	0	0	0	0	1	0	0	0	1	1	1
AQP1	0	1	0	0	0	0	0	0	1	1	1
AQP5	1	0	0	0	0	0	0	0	1	1	1
AQPEP	0	0	0	0	0	0	1	0	1	1	1
ARFGAP3	0	0	0	0	0	0	1	0	1	1	1
ARFGEF1	1	0	0	0	0	0	0	0	1	1	1
ARFIP2	1	0	0	0	0	0	0	0	1	1	1
ARHGAP10	0	0	0	0	0	0	1	0	1	1	1
ARHGAP11A	0	0	0	0	0	0	1	0	1	1	1
ARHGAP15	1	0	0	0	0	0	0	0	1	1	1
ARHGAP19	0	1	0	0	0	0	0	0	1	1	1
ARHGAP21	1	0	0	0	0	0	0	0	1	1	1
ARHGAP35	1	0	0	0	0	0	0	0	1	1	1
ARHGDIA	0	0	1	0	0	0	0	0	1	1	1
ARHGEF1	0	0	0	0	0	1	0	0	1	1	1
ARHGEF11	0	1	0	0	0	0	0	0	1	1	1
ARHGEF26	1	0	0	0	0	0	0	0	1	1	1
ARHGEF40	0	0	0	0	1	0	0	0	1	1	1
ARID1A	0	0	0	0	1	0	0	0	1	1	1
ARID1B	0	0	0	0	1	0	0	0	1	1	1
ARID4A	1	0	0	0	0	0	0	0	1	1	1
ARID5B	0	1	0	0	0	0	0	0	1	1	1
ARIH2	0	0	0	0	1	0	0	0	1	1	1
ARL4C	0	0	0	0	1	0	0	0	1	1	1
ARMC5	0	0	1	0	0	0	0	0	1	1	1
ARNT2	1	0	0	0	0	0	0	0	1	1	1
ARNTL2	0	0	0	0	1	0	0	0	1	1	1
ARPC4-TTLL3	0	0	0	0	0	0	1	0	1	1	1
ARPC5	1	0	0	0	0	0	0	0	1	1	1
ART4	0	0	0	0	0	0	1	0	1	1	1
ARVCF	0	0	0	0	1	0	0	0	1	1	1
ASAP1	0	0	0	0	0	0	1	0	1	1	1
ASB15	1	0	0	0	0	0	0	0	1	1	1
ASB9	0	0	0	0	1	0	0	0	1	1	1
ASNSD1	0	0	1	0	0	0	0	0	1	1	1
ASPG	1	0	0	0	0	0	0	0	1	1	1
ASPM	0	0	0	0	1	0	0	0	1	1	1
ASPN	1	0	0	0	0	0	0	0	1	1	1
ASTN1	0	0	0	0	1	0	0	0	1	1	1
ATAD1	1	0	0	0	0	0	0	0	1	1	1
ATAD2	0	0	0	0	0	0	1	0	1	1	1
ATAD5	1	0	0	0	0	0	0	0	1	1	1
ATE1	0	1	0	0	0	0	0	0	1	1	1
ATF4	1	0	0	0	0	0	0	0	1	1	1
ATF7IP	0	0	0	0	0	0	1	0	1	1	1
ATG10	0	0	0	0	1	0	0	0	1	1	1
ATG2B	0	0	0	0	1	0	0	0	1	1	1
ATG5	0	0	0	0	1	0	0	0	1	1	1
ATG9A	0	0	0	0	0	0	1	0	1	1	1
ATP10B	1	0	0	0	0	0	0	0	1	1	1
ATP10D	0	0	0	0	1	0	0	0	1	1	1
ATP11B	0	0	0	0	1	0	0	0	1	1	1
ATP13A1	0	0	0	0	1	0	0	0	1	1	1
ATP2A2	0	1	0	0	0	0	0	0	1	1	1
ATP2B2	1	0	0	0	0	0	0	0	1	1	1
ATP2B4	0	0	0	0	0	0	1	0	1	1	1
ATP5A1	0	0	0	0	1	0	0	0	1	1	1
ATP5F1	1	0	0	0	0	0	0	0	1	1	1
ATP6V1A	0	0	0	0	0	0	1	0	1	1	1
ATP6V1B1	1	0	0	0	0	0	0	0	1	1	1
ATP6V1C2	0	0	0	0	1	0	0	0	1	1	1
ATP8B2	0	0	0	0	0	0	1	0	1	1	1
ATR	0	0	0	0	1	0	0	0	1	1	1
ATRN	0	0	0	1	0	0	0	0	1	1	1
ATRX	1	0	0	0	0	0	0	0	1	1	1
ATXN3	0	0	0	0	1	0	0	0	1	1	1
ATXN7L2	1	0	0	0	0	0	0	0	1	1	1
AUTS2	0	0	0	0	1	0	0	0	1	1	1
B3GALNT2	0	0	0	0	1	0	0	0	1	1	1
B3GNT4	0	0	1	0	0	0	0	0	1	1	1
B4GALT6	0	0	0	0	1	0	0	0	1	1	1
BAI3	1	0	0	0	0	0	0	0	1	1	1
BANP	0	0	0	0	0	0	1	0	1	1	1
BAZ1A	0	0	0	0	1	0	0	0	1	1	1
